timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-11-30T00:00:00.000Z";"2024-11-30T23:59:59.999Z";"2024-11-30T22:19:00.000Z";"2024-11-30T00:47:00.000Z";"2781";1.7967153281;1.9549070325;1.7705542417;1.9441209163;16537204318.84;110914167221.27;"2024-11-30T23:59:59.999Z"
"2024-11-29T00:00:00.000Z";"2024-11-29T23:59:59.999Z";"2024-11-29T23:53:00.000Z";"2024-11-29T01:20:00.000Z";"2781";1.5413337954;1.8115313099;1.527908342;1.7967308202;14734827153.69;102505288526.38;"2024-11-29T23:59:59.999Z"
"2024-11-28T00:00:00.000Z";"2024-11-28T23:59:59.999Z";"2024-11-28T23:58:00.000Z";"2024-11-28T15:55:00.000Z";"2781";1.4728472615;1.5423698838;1.4341828968;1.5413428114;5820667101.24;87935391291.01;"2024-11-28T23:59:59.999Z"
"2024-11-27T00:00:00.000Z";"2024-11-27T23:59:59.999Z";"2024-11-27T20:31:00.000Z";"2024-11-27T05:23:00.000Z";"2781";1.4013121402;1.5183703598;1.3573457307;1.4728115876;7766481601.85;83950603431.04;"2024-11-27T23:59:59.999Z"
"2024-11-26T00:00:00.000Z";"2024-11-26T23:59:59.999Z";"2024-11-26T02:55:00.000Z";"2024-11-26T11:33:00.000Z";"2781";1.4153674888;1.4565421533;1.2948045699;1.4013232019;9378581137.72;79873183625.28;"2024-11-26T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-11-25T23:59:59.999Z";"2024-11-25T08:34:00.000Z";"2024-11-25T01:26:00.000Z";"2781";1.4324132229;1.5359229515;1.3643274571;1.4154234843;11517571350.21;80677514038.03;"2024-11-25T23:59:59.999Z"
"2024-11-24T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-24T02:30:00.000Z";"2024-11-24T16:02:00.000Z";"2781";1.4689996374;1.509101318;1.308200217;1.4324108501;11863424377.05;81624797886.49;"2024-11-24T23:59:59.999Z"
"2024-11-23T00:00:00.000Z";"2024-11-23T23:59:59.999Z";"2024-11-23T01:10:00.000Z";"2024-11-23T20:31:00.000Z";"2781";1.4690321408;1.6216148206;1.4274995774;1.4690081194;15468388183.18;83731293273.83;"2024-11-23T23:59:59.999Z"
"2024-11-22T00:00:00.000Z";"2024-11-22T23:59:59.999Z";"2024-11-22T12:46:00.000Z";"2024-11-22T00:00:00.000Z";"2781";1.2502392049;1.4969073743;1.2475605561;1.4690188275;19984456168.5;83733145933.25;"2024-11-22T23:59:59.999Z"
"2024-11-21T00:00:00.000Z";"2024-11-21T23:59:59.999Z";"2024-11-21T23:59:00.000Z";"2024-11-21T02:44:00.000Z";"2781";1.1023050019;1.251769659;1.0820939727;1.250351528;10451562187.86;71177670946.92;"2024-11-21T23:59:59.999Z"
"2024-11-20T00:00:00.000Z";"2024-11-20T23:59:59.999Z";"2024-11-20T12:22:00.000Z";"2024-11-20T03:37:00.000Z";"2781";1.1019425187;1.1466365275;1.0637480074;1.1023006706;6409028713.65;62755593014.88;"2024-11-20T23:59:59.999Z"
"2024-11-19T00:00:00.000Z";"2024-11-19T23:59:59.999Z";"2024-11-19T00:59:00.000Z";"2024-11-19T14:08:00.000Z";"2781";1.1178938334;1.1457942795;1.073826802;1.1019471609;5884163705.11;62734956393.38;"2024-11-19T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-18T23:59:59.999Z";"2024-11-18T06:10:00.000Z";"2024-11-18T00:00:00.000Z";"2781";1.0543435424;1.1833420008;1.0543139839;1.1179359952;9978319004.88;63643084553.26;"2024-11-18T23:59:59.999Z"
"2024-11-17T00:00:00.000Z";"2024-11-17T23:59:59.999Z";"2024-11-17T00:14:00.000Z";"2024-11-17T06:02:00.000Z";"2781";1.1190878362;1.1545945192;1.0054632183;1.0543353752;12066098150.74;60025087547.81;"2024-11-17T23:59:59.999Z"
"2024-11-16T00:00:00.000Z";"2024-11-16T23:59:59.999Z";"2024-11-16T15:07:00.000Z";"2024-11-16T00:26:00.000Z";"2781";0.892091657;1.256743942;0.8799244082;1.1190904175;22568823580.35;63711060613.92;"2024-11-16T23:59:59.999Z"
"2024-11-15T00:00:00.000Z";"2024-11-15T23:59:59.999Z";"2024-11-15T22:11:00.000Z";"2024-11-15T00:01:00.000Z";"2781";0.7730079741;0.9248207825;0.7725787115;0.8920914416;11738281622.73;50787886167.99;"2024-11-15T23:59:59.999Z"
"2024-11-14T00:00:00.000Z";"2024-11-14T23:59:59.999Z";"2024-11-14T22:25:00.000Z";"2024-11-14T00:52:00.000Z";"2781";0.690287967;0.845210622;0.68441732;0.7730071544;9458526339.42;44008304173.73;"2024-11-14T23:59:59.999Z"
"2024-11-13T00:00:00.000Z";"2024-11-13T23:59:59.999Z";"2024-11-13T17:04:00.000Z";"2024-11-13T06:41:00.000Z";"2781";0.7076360911;0.743535347;0.6425908877;0.6902881889;7773620798.62;39255753600.4;"2024-11-13T23:59:59.999Z"
"2024-11-12T00:00:00.000Z";"2024-11-12T23:59:59.999Z";"2024-11-12T20:32:00.000Z";"2024-11-12T05:50:00.000Z";"2781";0.6204667554;0.7353525141;0.599107168;0.7076994247;11156505328.94;40242318217.59;"2024-11-12T23:59:59.999Z"
"2024-11-11T00:00:00.000Z";"2024-11-11T23:59:59.999Z";"2024-11-11T20:44:00.000Z";"2024-11-11T05:58:00.000Z";"2781";0.5893823021;0.6307059636;0.5720236265;0.6204667554;4066959667;35285114663.12;"2024-11-11T23:59:59.999Z"
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T13:07:00.000Z";"2024-11-10T00:39:00.000Z";"2781";0.5594869341;0.6160421886;0.5562001509;0.5893823021;4198897125.24;33517383371.1;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T23:32:00.000Z";"2024-11-09T17:19:00.000Z";"2781";0.5540787065;0.5613808136;0.545104076;0.5594869341;1238578019.05;31816864569.44;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T00:22:00.000Z";"2024-11-08T17:17:00.000Z";"2781";0.5547320839;0.5596891823;0.5430236248;0.5540794817;1498480369.65;31509715098.18;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T03:28:00.000Z";"2024-11-07T00:52:00.000Z";"2781";0.5424267616;0.5738684107;0.5384252632;0.5547320839;1889112042.67;31546871797.31;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T22:58:00.000Z";"2024-11-06T00:00:00.000Z";"2781";0.5140294604;0.5465790423;0.5140294604;0.5424267616;2211008426.11;30847084574.5;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T08:10:00.000Z";"2024-11-05T01:37:00.000Z";"2781";0.5032264067;0.5183096765;0.5020223083;0.5140286129;1027346173.7;29232168029.38;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T11:24:00.000Z";"2024-11-04T22:01:00.000Z";"2781";0.5029313039;0.5138324189;0.496788286;0.5032255802;1025432948.28;28617812810.98;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:34:00.000Z";"2024-11-03T15:48:00.000Z";"2781";0.5098524763;0.5107478087;0.4936523348;0.5029313039;940842891.38;28601030708.22;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:46:00.000Z";"2024-11-02T15:13:00.000Z";"2781";0.5128683071;0.5157502036;0.5079737308;0.5098498517;527041358.8;28994628530.33;"2024-11-02T23:59:59.999Z"
